"Country","Country Code","Social Progress Index","Basic Human Needs","Foundations of Wellbeing","Opportunity","Nutrition and Basic Medical Care","Water and Sanitation","Shelter","Personal Safety","Access to Basic Knowledge","Access to Information and Communications","Health and Wellness","Environmental Quality","Personal Rights","Personal Freedom and Choice","Tolerance and Inclusion","Access to Advanced Education","Undernourishment","Depth of food deficit","Maternal mortality rate","Child mortality rate","Deaths from infectious diseases","Access to piped water","Rural access to improved water source","Access to improved sanitation facilities","Availability of affordable housing","Access to electricity","Quality of electricity supply","Household air pollution attributable deaths","Homicide rate","Level of violent crime","Perceived criminality","Political terror","Traffic deaths","Adult literacy rate","Primary school enrollment","Lower secondary school enrollment","Upper secondary school enrollment","Gender parity in secondary enrollment","Mobile telephone subscriptions","Internet users","Press Freedom Index","Life expectancy at 60","Premature deaths from non-communicable diseases","Obesity rate","Suicide rate","Outdoor air pollution attributable deaths","Wastewater treatment","Biodiversity and habitat","Greenhouse gas emissions","Political rights","Freedom of speech","Freedom of assembly/association","Freedom of movement","Private property rights","Freedom over life choices","Freedom of religion","Early marriage","Satisfied demand for contraception","Corruption","Tolerance for immigrants","Tolerance for homosexuals","Discrimination and violence against minorities","Religious tolerance","Community safety net","Years of tertiary schooling","Women's average years in school","Inequality in the attainment of education","Globally ranked universities","Percentage of tertiary students enrolled in globally ranked universities","Depth of food deficit - capped","Adult literacy rate - capped","Lower secondary school enrollment - capped","Upper secondary school enrollment - capped","Gender parity in secondary enrollment - difference from parity","Mobile telephone subscriptions - capped","Greenhouse gas emissions - capped","Globally ranked universities - bucketed","Percentage of tertiary students enrolled in globally ranked universities - bucketed"
"Russia","RUS",64.19,79.31,69.27,44.00,97.88,83.43,77.78,58.15,97.63,75.12,39.08,65.25,8.00,56.40,34.22,77.39,5,8,24.6159203834392,9.6,73.77642,87.3666461,91.2457751,72.2243087,0.339901847541629,100,4.80061949728458,0,9.00034774704417,3,4,4,18.9,99.72078,96.14569,97.2418,102.25355,0.98518,155.144239024479,70.52,44.97,17.3679,29.86044,0.228,28.34389856,51.165908898,72.668,73.7,695.805702257711,6,0,0,0,20,0.617066377117097,1,0.08,71.2,29,0.467970859171934,0.125092503627929,9.3,1,0.907210209365935,1.93279004096985,14.67,0.02299,21,0.045921428640692,8,99,97.2,100.0,0.015,100.0,695.8,7,1
"Kazakhstan","KAZ",63.86,81.15,59.14,51.30,97.45,81.96,76.35,68.85,94.17,67.86,31.55,42.97,29.96,61.64,49.57,64.02,5,18,11.9523419207225,14.1,55.27089,61.3749413,85.5765167,97.5411031,0.463356311370016,100,4.62684901101249,25.531351481,7.82003828053657,2,3,3,24.2,99.79017,86.33156,111.54279,103.3055,1.03462,172.191305313377,54.89,53.46,16.13593,33.89241,0.222,34.4380625,74.424184246,15.6,53.45,805.548267430236,6,1,0,2,30,0.706484315064647,2,0.05,73.3,28,0.43804830478806,0.103706417719925,7,4,0.911657656973025,0.863379538059235,13.93,0.05874,9,0.121750329960071,18,99,100.0,100.0,0.035,100.0,805.5,5,3
"Azerbaijan","AZE",63.75,82.09,69.32,39.82,95.55,76.99,80.52,75.31,95.88,67.50,60.16,53.76,14.21,49.05,44.14,51.87,5,12,25.0685972600395,31.7,70.84092,66.1942892,77.7506279,89.3490717,0.586763932204796,100,4.89702119973063,20.171391657,2.35884777193079,2,3,3,10,99.81078,95.1785,89.05687,135.03198,0.99353,110.905363353238,61,58.41,18.88105,23.31604,0.204,3.516977292,72.142134181,9.7298,75.83,469.463109829172,7,0,0,2,20,0.688035672944719,1,0.08,30.9,29,0.56408678591498,0.025251920091954,6.4,3,0.765483119555332,,13.16,0.083,3,0.118960496619772,12,99,89.1,100.0,0.006,100.0,469.5,2,3
"Nicaragua","NIC",63.03,71.72,71.15,46.22,87.41,66.16,66.24,67.08,81.87,68.24,63.26,71.22,40.54,59.16,58.62,26.55,16.6,122,149.772233557582,22.1,75.15044,66.3154059,69.4027903,67.9008585,0.469735997024814,77.9,3.95134927431742,43.874602416,11.3329048523544,3,3,3,15.3,82.81734,96.9525,84.69859,58.31425,1.12814,114.565599263057,17.6,27.94,21.13286,19.41887,0.21,8.001431735,5.560903758,0,93.72,530.893184028176,4,0,1,4,10,0.803803784971589,3,0.3,87,27,0.611951784558888,0.426554841839394,6.5,4,0.824392524150439,0.498235911130905,9.04,0.2949004,0,0,122,82.8,84.7,58.3,0.128,100.0,530.9,0,0
"Kyrgyzstan","KGZ",62.91,75.90,64.25,48.58,94.72,79.99,64.42,64.47,92.38,69.90,51.43,43.31,44.56,61.10,44.57,44.09,6,40,75.5075241756484,21.3,65.80179,58.1857052,86.2193251,93.2840289,0.625147927059729,100,2.92807340417245,89.577622369,5.37454767999458,3.5,3,3,22,99.52097,89.68837,94.55812,82.09514,1.00861,134.460868104352,28.3,30.69,17.41422,28.54902,0.155,13.19075457,84.820042072,4.2,79.8,934.896199975142,5,1,1,3,20,0.789271888283018,2,0.08,65,28,0.587286373070271,0.112245726596425,8.4,3,0.8554838318427,0.625321269035339,13.79,0.0501723,0,0,40,99,94.6,82.1,0.009,100.0,934.9,0,0
"Mongolia","MNG",62.80,64.94,64.69,58.77,86.24,47.29,51.70,74.52,94.15,71.67,42.27,50.66,74.06,63.27,53.85,43.90,20.5,156,43.9546879625301,22.4,82.75971,24.3518243,59.2103975,59.7165974,0.224345709937051,89.76256,3.70555555820465,141.146804937,7.45245019201492,3,2,2,21,98.38402,94.94516,95.03449,85.43802,1.02504,105.060985661559,27,25.25,16.28103,31.98541,0.154,22.91928581,23.092219849,3.3,83.56,1417.03190578804,1,1,2,4,30,0.635252665030695,3,0.04,71.4,39,0.368010229533994,0.086710291247599,4.3,4,0.900862710500616,0.956946909427643,12.06,0.09435,0,0,156,98.4,95.0,85.4,0.025,100.0,1417.0,0,0
"Venezuela","VEN",62.60,68.39,75.14,44.27,96.58,84.20,62.32,30.45,90.43,72.99,68.69,68.44,27.37,49.80,55.55,44.36,5,9,95.3956074766472,14.9,58.18732,86.258582,77.8698096,94.4469225,0.191456861860048,100,1.92680475711823,0.4157261388,53.6196757466877,5,5,3,37.2,95.36245,90.66394,99.10604,80.22428,1.07612,98.9520034832843,57,40.61,23.05928,15.65433,0.183,9.858677017,27.338074909,10.86,95.73,537.205907742262,5,0,0,4,5,0.498625700185877,3,0.17,77.8,17,0.476758116394871,0.405685374305545,7.3,4,0.906085930944165,0.408846586942673,11.5,0.17581,5,0.060159459944485,9,95.4,99.1,80.2,0.076,99.0,537.2,3,2
"Indonesia","IDN",62.27,72.68,69.72,44.41,91.49,56.34,72.81,70.09,88.65,63.17,65.02,62.03,48.60,61.80,29.57,37.67,7.6,51,126.18626292044,27.2,162.3835,21.8299848,79.4838902,60.827153,0.717327541634666,96,4.12776580059782,70.129763955,0.554136029343014,3,3,3,15.3,93.88262,90.15294,90.31974,74.23992,0.97016,128.784434076759,17.14,40.75,17.80251,23.12596,0.069,2.963908877,44.370211061,0.02,81.62,348.038856945496,2,1,0,3,30,0.739878140389048,1,0.14,79.7,36,0.300789029884954,0.034496050282932,7.3,1,0.805377819105568,0.261404484510422,9.56,0.2081128,9,0.045196704888569,51,93.9,90.3,74.2,0.030,100.0,348.0,4,1
"Sri Lanka","LKA",62.21,75.40,68.61,42.61,86.05,77.90,68.65,69.01,95.90,57.83,54.34,66.38,29.11,67.12,32.85,41.34,22,192,30.2935960232228,9.8,75.49694,33.5883633,94.9523972,95.1130681,0.48646409710662,88.66256,4.92679652175322,83.230635863,2.79079861968474,2,3,4,17.4,92.63448,97.17662,99.68429,99.06412,1.0459,103.157848107611,25.8,60.28,20.19744,17.63822,0.052,37.22679064,35.409734791,0,81.98,214.310532011221,4,0,0,2,40,0.873877685798605,2,0.09,70.9,37,0.55227379316811,0.028364402520675,9.3,1,0.860281678893719,0.524654924869537,11.6,0.12786,1,0.046120926556045,192,92.6,99.7,99.1,0.046,100.0,214.3,1,1
"China","CHN",62.10,79.31,67.96,39.03,94.47,81.70,76.72,64.35,95.41,55.90,67.66,52.86,4.55,70.90,34.16,46.53,9.3,74,26.6850510120549,10.7,41.44481,73.067262,92.9685707,76.4658715,0.560834174175149,100,5.34435160455625,64.61790969,0.821107797808966,2,4,4,18.8,96.37548,,106.81491,87.16365,1.01778,92.2734908227189,49.3,73.55,19.44975,19.38787,0.044,9.077763135,71.28578523,27.9342,77.45,755.436014413959,7,0,0,0,20,0.762809402394348,1,0.02,94.6,37,0.400632724530026,0.136790519073549,8.3,2,0.776582843922696,0.175019830465317,9.82,,46,0.043409210974416,74,96.4,100.0,87.2,0.018,92.3,755.4,9,1
"Namibia","NAM",62.01,61.75,66.14,58.14,65.26,57.99,57.74,65.99,74.53,73.50,50.11,66.42,80.63,75.38,53.52,23.02,42.3,325,264.737645843822,45.4,356.60063,50.6680823,84.6499855,34.3905834,0.376990738925207,47.26256,5.36424386156233,93.121547849,17.4646311041684,3,3,2,23.9,81.94129,89.7437,82.50605,36.21968,1.15734,113.756245772977,14.84,12.5,18.70312,20.04359,0.136,31.38900048,20.623128726,6.25,95.74,708.775125227574,2,2,2,4,30,0.846826531671155,4,0.05,76.3,53,0.593531500955472,0.231711216097632,5.9,4,0.758846458873507,0.058291610330343,9.79,0.27765,0,0,325,81.9,82.5,36.2,0.157,100.0,708.8,0,0
"Morocco","MAR",61.92,78.09,69.89,37.80,93.37,66.47,79.81,72.69,80.89,73.86,55.53,69.27,30.49,58.88,41.78,20.05,5,31,121.317277966449,27.6,131.50182,63.8488669,65.3102503,76.710707,0.342688495121799,100,5.38271152802876,4.820260458,1.32333890510144,3,2,3,20.8,72.37732,98.42964,94.80046,54.50097,0.85419,131.71305603822,56.8,39.19,17.8917,22.82882,0.196,10.86134488,29.816202686,5.4,91.1,318.758993529963,5,0,0,3,40,0.61550736406473,2,0.11,74.5,36,0.52415258393435,0.072069805059373,7.1,4,0.651466208744074,0.366627424955368,4.84,0.458,1,0.072413971272089,31,72.4,94.8,54.5,0.146,100.0,318.8,1,2
"Guatemala","GTM",61.68,71.30,69.60,44.14,86.96,77.91,74.63,45.70,75.72,65.86,67.54,69.27,52.84,60.22,48.85,14.64,15.6,101,87.8702237778424,29.1,212.72109,84.6345829,86.8187041,63.85466,0.578712341218584,78.5,5.41272971585112,45.723858173,34.5742477681431,5,5,2,19,79.3053,86.40513,68.73578,55.39377,0.93883,106.633770318935,23.4,37.92,21.49681,13.53943,0.146,13.76301363,23.196007482,6.8,78.02,220.41394231043,4,1,1,4,20,0.847358531527628,4,0.2,64.1,28,0.482942196958455,0.295323513606327,7.9,4,0.815636371950181,0.00099367799703,6.65,0.36212,0,0,101,79.3,68.7,55.4,0.061,100.0,220.4,0,0
"Algeria","DZA",61.18,79.58,69.54,34.41,94.12,81.25,73.24,69.71,87.97,62.47,61.36,66.37,13.97,59.81,39.46,24.41,5,20,139.620784294601,25.5,97.79232,77.0095752,81.799891,87.5958003,0.289883950188062,100,4.02130918564574,1.498457946,1.25024950646898,2,4,2,23.8,80.19891,97.26243,132.01042,62.72114,1.03655,92.9479307330594,18.09,36.63,17.8669,22.06388,0.18,2.291277476,34.502669012,45.0933333319,61.62,380.963345467116,6,0,0,1,25,0.562599472120725,2,0.02,70.9,36,0.486528407934486,0.20578399626016,8.2,2,0.818189439947135,0.455392330884933,7.74,,0,0,20,80.2,100.0,62.7,0.037,92.9,381.0,0,0
"Egypt","EGY",60.74,82.07,65.49,34.66,96.18,97.63,71.80,62.67,89.67,63.23,50.34,58.73,12.83,59.08,27.42,39.32,5,12,33.0396336449999,24,74.34568,99.3436934,98.9898282,94.7206705,0.33905062659158,100,3.45082893147565,0.5251374903,3.41785383035147,4,3,4,12.8,75.23647,99.8893,99.9382,71.99139,0.98272,114.305985751523,31.7,50.17,17.53399,24.50326,0.377,2.780704562,70.570428763,28.35,72.75,334.085991528213,6,0,0,1,20,0.648561975398038,1,0.14,80.3,36,0.409237975994912,,8.7,1,0.729202402158678,0.405954033136368,9.06,0.409,6,0.381823157544636,12,75.2,99.9,72.0,0.017,100.0,334.1,4,4
"Honduras","HND",60.64,66.20,69.01,46.70,90.02,84.17,61.84,28.78,79.06,61.91,69.01,66.07,63.70,52.11,48.11,22.87,12.2,85,129.312473760165,20.4,117.53191,90.293684,83.7601763,82.6466595,0.424702709521889,82.2,3.96573659164646,82.723877115,84.2927313738229,5,5,3,17.4,88.48381,94.00923,73.03624,61.43549,1.16688,93.5156364150515,19.08,39.27,22.06765,15.72406,0.181,6.83948343,19.072783647,1.78,86.89,564.068223494885,4,1,2,4,30,0.529396979454894,4,0.25,76.5,31,0.385771761100285,0.275663138993398,6.4,4,0.769486894445854,0.149594649672508,8.58,0.2641244,0,0,85,88.5,73.0,61.4,0.167,93.5,564.1,0,0
"Uzbekistan","UZB",60.49,83.09,57.10,41.27,93.91,76.77,90.92,70.76,96.69,54.26,51.37,26.09,3.41,68.13,53.55,40.00,5,29,35.9338210342834,39.1,85.77182,47.3717095,80.9064671,100,0.917076049843544,100,,30.568596565,3.26396174618255,3,3,3,11.2,99.59366,91.91436,98.94101,136.21934,0.99101,78.4213563071954,43.55,61.14,16.98007,31.03204,0.137,10.45263522,89.896220986,0,56.18,1706.54608459753,7,0,0,0,15,0.977745720752299,1,0.05,79.3,19,0.676741852128717,,7.6,3,0.96822524003408,,12.97,0.01423,0,0,29,99,98.9,100.0,0.009,78.4,1500.0,0,0
"Ghana","GHA",60.37,60.41,68.59,52.12,83.90,42.64,45.51,69.58,80.70,73.38,61.00,59.30,73.77,62.20,48.75,23.76,5,19,319.476073113483,61.6,475.96407,18.8796475,84.0458594,14.8710577,0.389230105821801,64.06256,2.20613477291838,114.478397433,1.70970545101894,3,3,2,26.2,76.57281,91.11411,89.77901,51.04476,0.94869,114.819478940048,18.9,15.5,17.25105,20.28288,0.112,9.202309946,59.790656773,1.1854838709,80.79,293.802473693827,1,1,2,3,50,0.829044623853561,4,0.09,36.2,47,0.627928624659253,0.085420034144385,4.6,3,0.686718124699264,0.11766391992569,7.12,0.3674153,1,0.091502504090595,19,76.6,89.8,51.0,0.051,100.0,293.8,1,2
"Iran","IRN",59.45,82.17,66.44,29.73,96.68,90.96,77.68,63.35,94.00,52.24,64.88,54.65,5.73,49.65,25.03,38.51,5,31,25.1679794646011,15.5,56.21823,92.1757488,92.1244889,90.0043834,0.306325001405886,100,5.01570901664899,3.382175957,4.77225648812534,2,3,4,32.1,86.84683,99.23806,99.95622,82.94784,0.98913,87.7927311076041,39.35,72.32,19.9134,17.28565,0.215,4.286650088,43.433406759,3.73,64.16,576.283267238308,6,0,0,0,10,0.57386240160981,1,0.21,71.6,27,0.460529506793603,,8.5,2,0.563679697179867,0.809788346290588,9.89,0.37345,8,0.025234206957548,31,86.8,100.0,82.9,0.011,87.8,576.3,4,1
"Tajikistan","TJK",58.78,69.72,65.37,41.25,76.15,67.88,68.18,66.68,90.70,63.27,56.40,51.12,32.46,55.24,41.04,36.25,33.2,250,31.9818019108868,44.8,147.74074,44.7669233,66.7177797,95.0279569,0.662842903756197,100,3.15269744143342,72.230311767,1.46219658091676,3.5,3,3,18.8,99.77334,97.33356,97.4399,68.01505,0.89888,95.1260603735521,17.49,36.19,17.44905,28.76056,0.132,5.659777816,74.724208653,2.25,74.2,489.260263466609,7,0,1,4,20,0.793099749501516,1,0.13,54.5,26,0.459986291795155,0.011198636004553,7.3,3,0.826416679640065,0.260324239730835,11.78,0.0654325,0,0,250,99,97.4,68.0,0.101,95.1,489.3,0,0
"Nepal","NPL",57.40,69.53,60.67,42.00,87.85,57.73,55.36,77.18,79.16,59.33,51.52,52.66,53.74,51.57,53.04,9.64,7.8,51,258.414286194459,35.8,251.77743,24.0766264,91.7715798,45.793182,0.747073453839478,76.3,1.94211222179775,103.079816199,2.87407094219094,3,2,2,17,64.66379,96.88675,90.40701,49.69026,1.07293,81.8660533115416,15.44,32.71,17.07327,21.62199,0.024,31.698794,62.170136395,0,76.59,588.47916851384,3,1,1,3,30,0.731752480054835,3,0.29,62.9,27,0.777050800209615,0.760227198112944,9.1,2,0.744846316570348,0.113578364253044,3.6,0.4137719,0,0,51,64.7,90.4,49.7,0.073,81.9,588.5,0,0
"Senegal","SEN",55.64,65.31,58.60,43.01,81.02,54.97,53.05,72.19,52.17,67.91,61.38,52.92,64.29,51.44,48.81,7.49,10,63,315.110328930896,47.2,587.66146,53.1370416,67.3301999,47.5924349,0.557765973123094,56.5,3.11964918688724,96.981196438,8.06245736028299,3,2,2,27.2,55.66825,71.12015,39.01792,16.32729,0.91347,98.8421774805919,17.7,27.77,16.21535,16.71734,0.163,6.367218739,70.474164763,0.5,93.36,726.072744519675,2,1,1,4,40,0.716237120496766,4,0.25,34.8,44,0.834291251986638,0.00986706662688,6.3,3,0.70029268375833,0.098195508122444,3.11,0.4474737,0,0,63,55.7,39.0,16.3,0.087,98.8,726.1,0,0
"Cambodia","KHM",54.28,59.14,64.23,39.46,86.48,45.44,44.26,60.39,69.90,61.01,72.76,53.26,38.49,63.52,38.44,17.38,14.2,97,160.537972305105,28.7,227.49536,21.4308436,69.1359691,42.4289467,0.772665319452025,31.1,3.10917859305242,155.892957635,1.83710198811526,4,4,3,17.4,77.18598,94.70745,60.60908,28.63315,0.85457,132.733798148657,9,40.99,23.81068,17.67136,0.021,14.71824418,70.054706295,0,88.15,623.150523397381,6,1,0,4,25,0.951542418391747,4,0.11,57.5,21,0.177519967595445,0.26019411648992,7.4,4,0.72861025900519,0.099966272711754,5.69,0.283292,0,0,97,77.2,60.6,28.6,0.145,100.0,623.2,0,0
"India","IND",53.92,64.66,58.59,38.51,83.38,57.24,57.49,60.53,80.23,54.33,51.78,48.03,39.43,56.42,24.91,33.28,15.2,109,174.331136955361,47.7,252.98455,28.1838107,92.6481063,39.6266218,0.565569197477353,78.7,3.70964306568939,125.849473901,3.34169678462331,3,4,4,16.6,72.13095,89.5043,85.20203,56.36434,1.00922,74.4837699065089,18,40.49,16.95337,26.24936,0.039,23.72302229,75.90804734,2.2464,63.42,490.651101875833,2,0,0,2,55,0.748651328736234,2,0.28,71.8,38,0.365799612551461,0.209338488132509,8.3,1,0.599245168826953,0.334741026163101,5.79,0.42112,19,0.05168805757275,109,72.1,85.2,56.4,0.009,74.5,490.7,7,2
"Kenya","KEN",53.72,52.40,67.96,40.79,71.50,35.81,50.91,51.39,80.00,63.81,62.38,65.65,32.03,61.53,34.28,35.31,21.2,135,509.517844162799,49.4,657.47542,21.6927722,56.839584,30.1098533,0.631748119985955,23,3.72796370752396,84.150183908,6.60044595621839,4,4,4,29.1,77.96503,84.87439,97.33108,52.32672,0.92981,73.8432480759004,43.4,32.07,17.65238,18.11377,0.11,10.61683305,21.59298281,3.2,84.09,524.19645161006,4,1,0,1,30,0.789230116421815,3,0.13,73.7,25,0.656249990719159,0.075766500522793,9,1,0.776005747760522,0.276257306337357,9.14,0.2601787,1,0.161052011215421,135,78.0,97.3,52.3,0.070,73.8,524.2,1,3
"Malawi","MWI",53.44,54.62,57.82,47.87,67.08,50.52,34.37,66.50,66.12,41.94,61.20,62.01,79.45,59.24,38.20,14.59,20.7,139,634.122448232324,64,777.64811,7.9307989,89.1141802,41.0033749,0.346463751147581,9.8,2.67397503202612,113.12685856,1.786799056262,3,3,2,35,65.79427,97.48386,47.31851,22.424,0.90595,33.4688086334041,5.83,26.41,16.33852,18.74127,0.047,13.77911545,20.295025445,0,93.35,880.184028379641,3,2,2,4,40,0.800413847147271,4,0.26,72.5,31,0.470455885566881,0.023773184299717,5.4,4,0.494381630551757,0.010488729923964,4.98,0.3020141,0,0,139,65.8,47.3,22.4,0.094,33.5,880.2,0,0
"Bangladesh","BGD",52.73,65.53,60.15,32.52,83.96,56.99,50.83,70.34,72.07,53.23,67.32,47.99,33.15,46.62,32.39,17.94,16.4,116,176.137551188271,37.6,234.63908,11.7807318,87.0333053,60.558993,0.664942450079124,59.6,2.69222486813863,123.29911758,2.79211139598854,2,3,4,13.6,61.54588,89.96452,76.12434,44.69487,1.08179,80.0353505087956,9.6,42.95,18.35459,17.52245,0.036,9.991770295,82.839908689,0,63.77,376.069882250782,4,0,1,2,20,0.745053976355508,2,0.46,74.3,25,0.642228090752874,0.239851167985663,8.4,1,0.597971376625347,0.160039231181145,5.09,0.3855827,1,0.018326380700578,116,61.5,76.1,44.7,0.082,80.0,376.1,1,1
"Laos","LAO",52.54,65.84,56.93,34.85,78.61,56.74,51.93,76.07,76.20,38.80,57.36,55.35,13.07,58.15,50.87,17.30,18.5,128,197.398732666493,66.7,328.74779,28.3697824,69.3761822,70.8865625,0.437591422198787,70,4.70910174281974,172.14486635,7.23430597267832,2,3,2,14.3,79.8604,95.12423,71.30884,39.11811,0.91228,66.9933325577907,14.26,71.25,17.09779,24.18693,0.056,15.047163,80.827856808,0,90.23,373.503897856848,7,0,0,2,15,0.869158349635346,2,0.2,64.7,25,0.625736287153169,0.407271257923632,6.3,3,0.690784409561979,0.221731796860695,6.11,0.34063,0,0,128,79.9,71.3,39.1,0.088,67.0,373.5,0,0
"Lesotho","LSO",52.39,53.44,51.56,52.17,67.69,45.32,41.98,58.76,60.05,61.02,37.92,47.23,67.16,61.86,54.72,24.94,11.2,76,487.171775023646,90.2,1110.4865,22.2700079,76.9647362,30.2696173,0.37527973563546,20.56256,3.69930674846356,112.350823157,38.0303655544444,3,3,2,28.2,79.36094,80.24722,62.23156,37.29254,1.37031,85.0224861752811,11,28.36,16.19046,23.87699,0.204,37.17624615,41.24687,0.3,26.17,423.072829119086,3,1,2,4,30,0.617836204570079,4,0.15,75.5,44,0.44470905971677,0.182291984434692,4.4,4,0.822656381706554,0.055827602744103,10.24,0.243,0,0,76,79.4,62.2,37.3,0.370,85.0,423.1,0,0
"Iraq","IRQ",52.28,70.41,55.06,31.37,83.43,74.70,81.63,41.88,69.18,57.15,52.30,41.62,19.20,45.13,25.13,36.03,22.8,185,49.598562537472,32,86.96357,75.1566834,70.1335881,85.6108875,0.463113544252737,100,,2.474427831,7.96656895176192,5,5,5,20.2,79.6875,92.3117,66.21484,39.76008,0.74856,94.9127867973207,11.3,47.76,17.64196,23.71483,0.319,5.138262563,72.509808888,9.69296024065,34.64,554.017613429442,5,0,0,1,,0.594510784214193,2,0.19,54.3,16,0.519490912709137,0.095090088634024,10,1,0.677689662551775,0.632995843887329,7.88,0.3063102,1,0.160018168638858,185,79.7,66.2,39.8,0.251,94.9,554.0,1,3
"Rwanda","RWA",51.91,57.26,59.25,39.21,71.38,49.64,44.92,63.12,68.82,42.47,66.90,58.81,28.52,72.82,39.29,16.19,31.6,232,290.200606403815,41.7,401.70498,9.1976146,71.8957441,61.6448175,0.547801656029831,18,4.03215267677789,122.648663962,4.61393711683559,3,3,3,32.1,70.51592,96.12131,47.91715,31.3835,1.07419,64.0246911396805,10.6,56.57,18.08957,19.10225,0.03,8.55911166,42.697883717,0,71.26,404.485018446965,6,0,1,2,30,0.903765520475758,2,0.04,64.2,54,0.558112767588186,0.073225194566819,8.8,4,0.676991112494294,0.059555623680353,5.48,0.2941586,0,0,232,70.5,47.9,31.4,0.074,64.0,404.5,0,0
"Swaziland","SWZ",51.76,58.08,56.33,40.87,65.58,54.56,49.88,62.29,76.04,53.24,39.77,56.25,18.76,64.74,56.09,23.91,26.8,192,389.054962307341,60.7,884.32522,37.2763841,68.8599119,57.4674509,0.550040813431009,42,3.97489924430847,125.808577969,17.4328750498681,3,3,3,24.2,87.47019,78.50708,72.58351,48.82976,0.9819,72.3197213229587,27.1,47.28,16.88085,21.3761,0.231,36.54563481,40.480148456,3.7,52.93,340.984819603356,7,0,0,2,40,0.606764716964349,4,0.07,77.3,43,0.547975675946334,0.17979657600278,3.7,3,0.837149746360441,0.077810235321522,10,0.2681536,0,0,192,87.5,72.6,48.8,0.018,72.3,341.0,0,0
"Uganda","UGA",50.69,52.13,60.21,39.72,70.02,36.43,38.98,63.10,61.12,49.75,67.25,62.73,38.49,51.43,38.79,30.15,25.5,172,343.133206749402,54.6,696.73532,5.0231032,75.8429033,19.0777634,0.436001939910076,18.16256,3.06997762418562,119.563474036,10.5246917079519,3,3,3,27.4,73.8633,93.65028,31.41064,14.12696,0.87066,52.4292396291441,17.71,31.65,16.595,21.15726,0.043,0.424138968,42.738433467,0.42,93.61,523.168237099591,6,1,0,4,25,0.819671088689269,3,0.23,43.3,25,0.572294345393342,0.121782625755693,8.7,2,0.818693048802435,0.082158237695694,6.16,0.2937211,1,0.276235482236039,172,73.9,31.4,14.1,0.129,52.4,523.2,1,4
"Benin","BEN",50.03,53.35,58.26,38.47,76.04,38.41,35.89,63.05,58.02,64.48,58.13,52.41,52.36,47.59,46.42,7.52,7.5,48,404.943248545751,99.5,577.327,17.7156201,72.1466618,19.7189055,0.381329550320722,38.4,1.72307693958282,126.521786916,6.32844972542389,3,4,2,27.7,38.44714,95.86662,67.56271,34.79877,0.67668,99.6522197724235,5.3,29.24,15.5772,22.0665,0.101,8.8765677,59.697840573,0.0084,77.29,650.828741291769,2,1,1,2,30,0.712910610391171,4,0.22,21.9,37,0.664401730046281,0.106352235648073,3.9,4,0.431182605548031,0.148242875933647,2.73,0.4479226,0,0,48,38.4,67.6,34.8,0.323,99.7,650.8,0,0
"Tanzania","TZA",49.99,47.13,60.95,41.90,66.84,23.35,36.47,61.84,61.14,51.57,64.31,66.79,48.84,54.01,39.04,25.70,32.1,238,398.132838901218,48.7,584.19211,12.5945644,45.549329,15.5503829,0.314102704501918,15.3,2.60624996423721,98.351246134,8.19391157005531,3,3,3,32.9,80.32054,80.89861,42.84153,9.00075,0.91493,62.7743323400015,4.86,28.09,17.69364,16.10871,0.104,10.22435841,16.897559949,1.44,94.34,665.780725277018,3,1,0,4,25,0.752177444721029,3,0.2,52.7,30,0.516813002178283,0.054069405823942,5.7,1,0.789595452093581,0.02885277941823,7.06,0.2849972,1,0.099335279473279,238,80.3,42.8,9.0,0.085,62.8,665.8,1,2
"Myanmar","MMR",49.84,63.11,55.94,30.47,82.89,56.36,47.04,66.14,77.87,42.33,61.39,42.16,5.73,60.47,29.11,26.56,14.2,103,178.499520528152,50,316.44449,8.1624171,74.3998151,79.5544837,0.665461101958782,52.36256,2.7249919295311,142.462320838,2.51779097913506,2.5,3,4,20.3,93.09415,94.52788,59.43709,34.24688,1.0258,54.0392872102992,2.1,42.08,16.58318,24.34979,0.065,5.344297944,68.616683972,0,57.74,,6,0,0,0,10,0.794447385944153,1,0.07,71.1,22,0.322400389649901,0.206507209520862,9.7,2,0.752064312381745,0.341707676649094,7.74,0.1944,0,0,103,93.1,59.4,34.2,0.026,54.0,,0,0
"Congo, Republic of","COG",49.74,45.88,64.19,39.16,67.31,23.96,37.42,54.83,72.01,63.62,57.62,63.51,33.64,51.76,47.28,23.97,30.5,206,441.996797333395,45,666.92172,24.7704523,40.0413811,15.0092847,0.388629725875512,41.6,,141.878938469,10.5417100262817,4,4,3,26.4,79.31117,91.38398,65.39075,38.28019,0.86638,108.149574188884,7.11,33,17.2298,19.8223,0.105,16.56968933,53.429203801,0.18,93.26,314.379749498423,6,0,1,4,10,0.837896629661594,4,0.2,35.2,23,0.71046175217685,0.05873332091614,6.6,4,0.642136145435915,0.055758304893971,8.85,0.2152094,0,0,206,79.3,65.4,38.3,0.134,100.0,314.4,0,0
